                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.3246,                  2.029,                 1.4507,                 1.5554,                 2.3334,                 1.4293,                0.09565,                0.20401,                0.06429,                0.03375,                 1.8882,                 3.9521,                  1.959,                 2.0011,                 3.9686,                 1.8134,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3126,                 2.1361,                 1.4217,                 1.6233,                 2.4781,                 1.4403,                0.08393,                0.14164,                0.05921,                0.02649,                 1.9443,                 4.7532,                 2.0122,                 2.0322,                 4.6694,                 1.8236,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3723,                 2.0677,                 1.4718,                 1.7028,                 2.4204,                 1.4707,                0.24795,                0.09977,                 0.0956,                0.05693,                 1.9056,                  3.357,                 1.9614,                 1.9546,                 3.7594,                 1.7894,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3687,                 2.0476,                 1.4567,                 1.7138,                 2.3984,                 1.4389,                0.20548,                0.11253,                0.10159,                0.06689,                 1.8741,                  3.544,                 1.9383,                 2.0134,                 3.8217,                 1.7619,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3762,                 1.9907,                 1.4282,                 1.6728,                 2.2978,                  1.435,                0.16415,                0.23757,                0.08808,                0.05065,                 1.8625,                 3.4096,                 1.9372,                 1.9795,                   3.81,                  1.791,             0.00086312,             0.00086312,             0.00086312
                     43,                  1.294,                 1.8571,                 1.3738,                 1.6428,                 2.2431,                 1.3939,                0.19733,                0.20194,                0.08771,                0.05051,                 1.8389,                 3.4655,                 1.9083,                 1.9338,                  4.164,                 1.7691,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3283,                 1.9239,                 1.4445,                 1.6273,                 2.2977,                 1.4221,                0.13384,                 0.1564,                0.08883,                0.05485,                 1.8449,                 3.3606,                 1.9046,                 1.9042,                 3.7533,                 1.7219,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2032,                 1.7794,                 1.3572,                 1.4979,                 2.0777,                 1.3728,                0.19102,                0.13574,                0.09544,                0.05812,                 1.8543,                 3.4968,                 1.8671,                 1.9054,                  3.704,                 1.7031,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2547,                 1.7021,                 1.3609,                 1.5408,                 2.0446,                 1.3698,                 0.1742,                0.14775,                0.07842,                 0.0462,                 1.8719,                 3.5362,                 1.8884,                 1.8895,                  3.925,                 1.7404,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2445,                 1.7638,                 1.3565,                 1.5173,                 2.1145,                 1.3471,                0.22252,                0.11809,                0.07152,                0.04877,                 1.8369,                 3.4419,                 1.8706,                 1.9103,                 4.0326,                 1.7421,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.3118,                 1.8521,                  1.357,                 1.6572,                 2.1821,                 1.3529,                0.26844,                0.11293,                0.09737,                0.06892,                  1.905,                  3.424,                  1.883,                 1.9244,                   4.13,                 1.7423,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2352,                 1.8856,                  1.366,                 1.5127,                 2.1335,                 1.3656,                0.17699,                0.09222,                0.08705,                0.05926,                 1.8622,                 3.9211,                 1.8988,                 1.8767,                 4.2454,                  1.769,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2307,                   1.78,                  1.385,                 1.5152,                 2.0995,                 1.3719,                 0.1178,                0.19157,                0.09569,                0.06552,                 1.7187,                 5.5287,                 1.8209,                 1.7995,                  4.921,                  1.714,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2113,                 1.6595,                 1.3339,                 1.4894,                  1.994,                  1.342,                0.15028,                0.18418,                0.10584,                0.06847,                 1.7802,                 3.9819,                 1.8622,                 1.7909,                 4.0529,                 1.6843,             0.00073579,             0.00073579,             0.00073579
